Location Name,Identifier,Road Section,State,Post Code,Latitude,Longitude,Electorate,Local Government Area,Regional Development Authority,Remoteness Area,Updated
Plane Road,SA-0738,N/A,South Australia,5642,-33.561888,136.250394,Grey,Cleve,Whyalla and Eyre Peninsula,Remote Australia,25 February 2016
Point Pass,SA-0739,N/A,South Australia,5374,-34.077348,139.049498,Grey,Goyder,Yorke and Mid North,Inner Regional Australia,25 February 2016
Pole Road,SA-0740,N/A,South Australia,5153,-35.038767,138.678093,Mayo,Onkaparinga,Adelaide Metropolitan,Major Cities of Australia,25 February 2016
Pondalowie Bay,SA-0741,N/A,South Australia,5577,-35.226837,136.847484,Grey,Yorke Peninsula,Yorke and Mid North,Remote Australia,25 February 2016
Poochera,SA-0742,N/A,South Australia,5655,-32.72085,134.83409,Grey,Streaky Bay,Whyalla and Eyre Peninsula,Very Remote Australia,25 February 2016
Pooginagoric,SA-0743,N/A,South Australia,5268,-36.434589,140.833996,Barker,Tatiara,Limestone Coast,Outer Regional Australia,25 February 2016
Poonindie,SA-0744,N/A,South Australia,5607,-34.580462,135.880332,Grey,Lower Eyre Peninsula,Whyalla and Eyre Peninsula,Remote Australia,25 February 2016
Port Augusta,SA-0745,N/A,South Australia,5700,-32.492414,137.763491,Grey,Port Augusta,Far North,Outer Regional Australia,25 February 2016
Port Clinton,SA-0746,Between Clinton Road and Yorke Highway,South Australia,5570,-34.224444,138.018988,Grey,Yorke Peninsula,Yorke and Mid North,Outer Regional Australia,25 February 2016
Port Kenny Road,SA-0747,Between Pygery to Port Kenny,South Australia,5653,-33.011499,135.266344,Grey,Wudinna,Whyalla and Eyre Peninsula,Very Remote Australia,25 February 2016
Port Neill,SA-0748,N/A,South Australia,5604,-34.11919,136.348948,Grey,Tumby Bay,Whyalla and Eyre Peninsula,Remote Australia,25 February 2016
Port Victoria,SA-0749,N/A,South Australia,5573,-34.496189,137.482969,Grey,Yorke Peninsula,Yorke and Mid North,Outer Regional Australia,25 February 2016
"Power Line Road, Curramulka",SA-0750,Between Curramulka and Sheaoak Flat,South Australia,5580,-34.689734,137.794113,Grey,Yorke Peninsula,Yorke and Mid North,Outer Regional Australia,25 February 2016
Punthari,SA-0751,N/A,South Australia,5238,-34.816192,139.308944,Barker,Mid Murray,Murraylands and Riverland,Inner Regional Australia,25 February 2016
Purnong Road,SA-0752,N/A,South Australia,5238,-34.855832,139.420121,Barker,Mid Murray,Murraylands and Riverland,Inner Regional Australia,25 February 2016
Pyap,SA-0753,N/A,South Australia,5333,-34.447838,140.498635,Barker,Loxton Waikerie,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Quorn,SA-0754,N/A,South Australia,5433,-32.346139,138.040514,Grey,Flinders Ranges,Far North,Outer Regional Australia,25 February 2016
Racecourse,SA-0755,N/A,South Australia,872,-26.257,132.168,Grey,Anangu Pitjantjatjara,Far North,Very Remote Australia,25 February 2016
Range Road,SA-0756,Between Hay Flat Road and Range Road West,South Australia,5204,-35.576763,138.26613,Mayo,Yankalilla,"Adelaide Hills, Fleurieu and Kangaroo Island",Inner Regional Australia,25 February 2016
Rawnsley Park Station,SA-0757,N/A,South Australia,5710,-31.643859,138.579199,Grey,Unincorporated SA,Far North,Remote Australia,25 February 2016
Red Banks,SA-0758,N/A,South Australia,5502,-34.475154,138.562626,Wakefield,Mallala,Barossa,Inner Regional Australia,25 February 2016
Red Hill Road,SA-0759,Between Minbool and Leggett Road,South Australia,5291,-37.769587,140.9039,Barker,Grant,Limestone Coast,Outer Regional Australia,25 February 2016
Rifle Range Road,SA-0760,N/A,South Australia,5352,-34.559975,138.988369,Barker,Barossa,Barossa,Inner Regional Australia,25 February 2016
Robe Clay Wells Road,SA-0761,N/A,South Australia,5276,-37.261671,139.928283,Barker,Robe,Limestone Coast,Outer Regional Australia,25 February 2016
Roseworthy,SA-0762,N/A,South Australia,5371,-34.537881,138.750303,Wakefield,Light,Barossa,Inner Regional Australia,25 February 2016
Rowney Road West,SA-0763,Between Mundulla and Bordertown ,South Australia,5268,-36.341521,140.741569,Barker,Tatiara,Limestone Coast,Outer Regional Australia,25 February 2016
Roxby Downs,SA-0764,N/A,South Australia,5725,-30.560851,136.898499,Grey,Roxby Downs,Far North,Remote Australia,25 February 2016
Sandalwood ,SA-0765,N/A,South Australia,5309,-34.939575,140.13445,Barker,Karoonda East Murray,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Sandilands,SA-0766,N/A,South Australia,5571,-34.512657,137.782088,Grey,Yorke Peninsula,Yorke and Mid North,Outer Regional Australia,25 February 2016
Sandy Bore,SA-0767,N/A,South Australia,872,-27.155,132.481,Grey,Anangu Pitjantjatjara,Far North,Very Remote Australia,25 February 2016
Senior,SA-0768,N/A,South Australia,5268,-36.082323,140.787921,Barker,Tatiara,Limestone Coast,Remote Australia,25 February 2016
Senior Road ,SA-0769,N/A,South Australia,5268,-36.25791,140.798355,Barker,Tatiara,Limestone Coast,Outer Regional Australia,25 February 2016
Seppeltsfield,SA-0770,N/A,South Australia,5355,-34.49203,138.907654,Wakefield,Light,Barossa,Inner Regional Australia,25 February 2016
Shannons Bore ,SA-0771,N/A,South Australia,5724,-27.041992,132.724003,Grey,Anangu Pitjantjatjara,Far North,Very Remote Australia,25 February 2016
Shea-Oak Log,SA-0772,N/A,South Australia,5371,-34.511388,138.817043,Wakefield,Light,Barossa,Inner Regional Australia,25 February 2016
Sheoak Flat,SA-0773,N/A,South Australia,5581,-34.705226,137.874246,Grey,Yorke Peninsula,Yorke and Mid North,Outer Regional Australia,25 February 2016
Sheringa,SA-0774,N/A,South Australia,5607,-33.844575,135.232354,Grey,Elliston,Whyalla and Eyre Peninsula,Very Remote Australia,25 February 2016
Sherwood,SA-0775,N/A,South Australia,5267,-36.076812,140.609106,Barker,Tatiara,Limestone Coast,Remote Australia,25 February 2016
Solomon,SA-0776,N/A,South Australia,5641,-33.24278,136.336825,Grey,Kimba,Whyalla and Eyre Peninsula,Remote Australia,25 February 2016
South Coast Road,SA-0777,N/A,South Australia,5223,-35.907249,137.31526,Mayo,Kangaroo Island,"Adelaide Hills, Fleurieu and Kangaroo Island",Remote Australia,25 February 2016
South Terrace,SA-0778,N/A,South Australia,5355,-34.481602,138.997303,Barker,Barossa,Barossa,Inner Regional Australia,25 February 2016
Spalding,SA-0779,N/A,South Australia,5454,-33.499101,138.607592,Grey,Northern Areas,Yorke and Mid North,Outer Regional Australia,25 February 2016
Stirling,SA-0780,N/A,South Australia,5152,-35.005939,138.717808,Mayo,Adelaide Hills,"Adelaide Hills, Fleurieu and Kangaroo Island",Major Cities of Australia,25 February 2016
Stock Route Road,SA-0781,Between Robertstown and Point Pass,South Australia,5381,-34.020116,139.035739,Grey,Goyder,Yorke and Mid North,Outer Regional Australia,25 February 2016
Stockland Plain,SA-0782,N/A,South Australia,5330,-34.359275,139.825746,Barker,Loxton Waikerie,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Stockport,SA-0783,N/A,South Australia,5410,-34.335994,138.732938,Wakefield,Clare and Gilbert Valleys,Yorke and Mid North,Inner Regional Australia,25 February 2016
Stokes Road ,SA-0784,Between Sandkes Bay and Kangaroo Island ,South Australia,5223,-35.718329,137.215073,Mayo,Kangaroo Island,"Adelaide Hills, Fleurieu and Kangaroo Island",Remote Australia,25 February 2016
Stone Well,SA-0785,N/A,South Australia,5352,-34.504092,138.955476,Wakefield,Light,Barossa,Inner Regional Australia,25 February 2016
Stott Highway,SA-0786,N/A,South Australia,5311,-34.476227,139.92606,Barker,Loxton Waikerie,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Stott Highway,SA-0787,N/A,South Australia,5311,-34.493754,140.197093,Barker,Loxton Waikerie,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Stott Highway,SA-0788,Between Swan Reach and Naidia,South Australia,5354,-34.54344,139.698824,Barker,Mid Murray,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Strathalbyn Road,SA-0789,N/A,South Australia,5153,-35.073246,138.777801,Mayo,Mount Barker,"Adelaide Hills, Fleurieu and Kangaroo Island",Inner Regional Australia,25 February 2016
Streaky Bay,SA-0790,N/A,South Australia,5680,-32.796352,134.21209,Grey,Streaky Bay,Whyalla and Eyre Peninsula,Remote Australia,25 February 2016
Stuart Highway,SA-0791,Between Port Augusta and Coober Pedy,South Australia,5710,-30.774224,135.515933,Grey,Unincorporated SA,Far North,Very Remote Australia,25 February 2016
Stuart Highway,SA-0792,Between Glendambo to Coober Peddy. ,South Australia,5710,-29.729377,135.123104,Grey,Unincorporated SA,Far North,Very Remote Australia,25 February 2016
Stuart Highway,SA-0793,Between Port Augusta and Roxby Downs,South Australia,5720,-31.263887,136.810817,Grey,Unincorporated SA,Far North,Very Remote Australia,25 February 2016
Sunlands,SA-0794,N/A,South Australia,5322,-34.14039,139.866574,Barker,Loxton Waikerie,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Sunnyside,SA-0795,N/A,South Australia,5253,-35.061293,139.355631,Barker,Murray Bridge,Murraylands and Riverland,Inner Regional Australia,25 February 2016
Sutherlands,SA-0796,N/A,South Australia,5374,-34.155206,139.222149,Grey,Goyder,Yorke and Mid North,Outer Regional Australia,25 February 2016
Tanunda,SA-0797,N/A,South Australia,5352,-34.523289,138.961475,Barker,Barossa,Barossa,Inner Regional Australia,25 February 2016
Taratap,SA-0798,N/A,South Australia,5275,-36.60588,139.952989,Barker,Kingston,Limestone Coast,Remote Australia,25 February 2016
Tarlee,SA-0799,N/A,South Australia,5411,-34.275915,138.771323,Wakefield,Clare and Gilbert Valleys,Yorke and Mid North,Inner Regional Australia,25 February 2016
Thiele Highway,SA-0800,N/A,South Australia,5374,-34.226361,139.044008,Grey,Goyder,Yorke and Mid North,Inner Regional Australia,25 February 2016
Thiele Highway,SA-0801,N/A,South Australia,5372,-34.430663,138.840676,Wakefield,Light,Barossa,Inner Regional Australia,25 February 2016
Thompsons Beach,SA-0802,N/A,South Australia,5501,-34.486544,138.28139,Wakefield,Mallala,Barossa,Inner Regional Australia,25 February 2016
Three Chain Road ,SA-0803,Between Woods Road and Hog Bay Road ,South Australia,5223,-35.871915,137.635928,Mayo,Kangaroo Island,"Adelaide Hills, Fleurieu and Kangaroo Island",Remote Australia,25 February 2016
Tiddy Widdy Beach,SA-0804,N/A,South Australia,5571,-34.401385,137.940499,Grey,Yorke Peninsula,Yorke and Mid North,Outer Regional Australia,25 February 2016
Tjilpil,SA-0805,N/A,South Australia,872,-26.982,131.995,Grey,Anangu Pitjantjatjara,Far North,Very Remote Australia,25 February 2016
Tod Highway,SA-0806,Between Lock and Karkoo,South Australia,5607,-33.753993,135.71488,Grey,Elliston,Whyalla and Eyre Peninsula,Remote Australia,25 February 2016
Tumby Bay,SA-0807,N/A,South Australia,5605,-34.375228,136.102692,Grey,Tumby Bay,Whyalla and Eyre Peninsula,Remote Australia,25 February 2016
Undalya,SA-0808,N/A,South Australia,5451,-34.074947,138.694524,Wakefield,Clare and Gilbert Valleys,Yorke and Mid North,Inner Regional Australia,25 February 2016
Verran,SA-0809,N/A,South Australia,5603,-33.871608,136.32277,Grey,Cleve,Whyalla and Eyre Peninsula,Remote Australia,25 February 2016
Victor Harbor Road ,SA-0810,Between Brookman and Pages Flat Road,South Australia,5172,-35.307976,138.582572,Mayo,Alexandrina,"Adelaide Hills, Fleurieu and Kangaroo Island",Inner Regional Australia,25 February 2016
Vivionne Bay,SA-0811,N/A,South Australia,5223,-35.977347,137.180252,Mayo,Kangaroo Island,"Adelaide Hills, Fleurieu and Kangaroo Island",Remote Australia,25 February 2016
Walalakara,SA-0812,N/A,South Australia,872,-27.004,131.79,Grey,Anangu Pitjantjatjara,Far North,Very Remote Australia,25 February 2016
Wallaroo-Tickera Road,SA-0813,Between Wallaroo and Tickera,South Australia,5556,-33.846316,137.680631,Grey,Copper Coast,Yorke and Mid North,Outer Regional Australia,25 February 2016
Watinuma,SA-0814,N/A,South Australia,872,-26.520834,131.88086,Grey,Anangu Pitjantjatjara,Far North,Very Remote Australia,25 February 2016
Wellington Road ,SA-0815,Between Wistow and Mount Barker ,South Australia,5251,-35.106191,138.882025,Mayo,Mount Barker,"Adelaide Hills, Fleurieu and Kangaroo Island",Inner Regional Australia,25 February 2016
West Bundaleer,SA-0816,N/A,South Australia,5490,-33.270526,138.540833,Grey,Northern Areas,Yorke and Mid North,Outer Regional Australia,25 February 2016
West McCallum Road,SA-0817,N/A,South Australia,5267,-35.977094,140.61694,Barker,Tatiara,Limestone Coast,Remote Australia,25 February 2016
Whites Flat,SA-0818,Between Poonindie and Koppio,South Australia,5607,-34.530373,135.861247,Grey,Lower Eyre Peninsula,Whyalla and Eyre Peninsula,Remote Australia,25 February 2016
Whites River,SA-0819,N/A,South Australia,5607,-34.491529,135.925286,Grey,Lower Eyre Peninsula,Whyalla and Eyre Peninsula,Remote Australia,25 February 2016
Wilkinson Road,SA-0820,Between Renmark and Murtho ,South Australia,5340,-34.053751,140.843666,Barker,Renmark Paringa,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Willow Waters Road,SA-0821,N/A,South Australia,5434,-31.906029,138.562165,Grey,Flinders Ranges,Far North,Outer Regional Australia,25 February 2016
Willson River Road,SA-0822,Between Pigs Head Corner and East West Road,South Australia,5222,-35.783699,138.06009,Mayo,Kangaroo Island,"Adelaide Hills, Fleurieu and Kangaroo Island",Remote Australia,25 February 2016
WIllunga,SA-0823,N/A,South Australia,5172,-35.271724,138.554292,Mayo,Onkaparinga,Adelaide Metropolitan,Inner Regional Australia,25 February 2016
Wilson River,SA-0824,N/A,South Australia,5222,-35.850874,137.936399,Mayo,Kangaroo Island,"Adelaide Hills, Fleurieu and Kangaroo Island",Remote Australia,25 February 2016
Wirrulla,SA-0825,N/A,South Australia,5661,-32.404223,134.533857,Grey,Streaky Bay,Whyalla and Eyre Peninsula,Very Remote Australia,25 February 2016
Wisanger,SA-0826,N/A,South Australia,5223,-35.624074,137.513428,Mayo,Kangaroo Island,"Adelaide Hills, Fleurieu and Kangaroo Island",Remote Australia,25 February 2016
Wistow,SA-0827,N/A,South Australia,5251,-35.112603,138.863992,Mayo,Mount Barker,"Adelaide Hills, Fleurieu and Kangaroo Island",Inner Regional Australia,25 February 2016
Woods Well Road,SA-0828,N/A,South Australia,5266,-35.980748,139.806156,Barker,The Coorong,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Woodside Road,SA-0829,N/A,South Australia,5252,-35.030426,138.902351,Mayo,Mount Barker,"Adelaide Hills, Fleurieu and Kangaroo Island",Inner Regional Australia,25 February 2016
Worlds End Highway,SA-0830,N/A,South Australia,5381,-33.947099,139.103526,Grey,Goyder,Yorke and Mid North,Outer Regional Australia,25 February 2016
Worlds End Highway,SA-0831,Between World's End and Robertstown,South Australia,5381,-33.866817,139.066835,Grey,Goyder,Yorke and Mid North,Outer Regional Australia,25 February 2016
Wudinna,SA-0832,N/A,South Australia,5652,-33.046708,135.460133,Grey,Wudinna,Whyalla and Eyre Peninsula,Very Remote Australia,25 February 2016
Wunkar,SA-0833,N/A,South Australia,5311,-34.484965,140.301636,Barker,Loxton Waikerie,Murraylands and Riverland,Outer Regional Australia,25 February 2016
Wychunga Road,SA-0834,N/A,South Australia,5371,-34.423225,138.741245,Wakefield,Light,Barossa,Inner Regional Australia,25 February 2016
Yacka-Koolunga Road,SA-0835,Between Koolunga and Yacka,South Australia,5470,-33.573258,138.421968,Grey,Northern Areas,Yorke and Mid North,Outer Regional Australia,25 February 2016
Yalapara,SA-0836,N/A,South Australia,5431,-32.501536,138.812275,Grey,Orroroo/Carrieton,Yorke and Mid North,Outer Regional Australia,25 February 2016
Yallunda Flat,SA-0837,N/A,South Australia,5607,-34.347232,135.879108,Grey,Tumby Bay,Whyalla and Eyre Peninsula,Remote Australia,25 February 2016
Yaninee,SA-0838,N/A,South Australia,5653,-32.949256,135.274072,Grey,Wudinna,Whyalla and Eyre Peninsula,Very Remote Australia,25 February 2016
Younghusband,SA-0839,N/A,South Australia,5238,-34.871358,139.471623,Barker,Mid Murray,Murraylands and Riverland,Inner Regional Australia,25 February 2016
Yunta,SA-0840,N/A,South Australia,5440,-32.580723,139.562724,Grey,Unincorporated SA,Far North,Remote Australia,25 February 2016
Abbotsham,TAS-0001,N/A,Tasmania,7315,-41.20862682,146.1783563,Braddon,Central Coast,Tasmania,Outer Regional Australia,25 February 2016
Abels Bay Road,TAS-0002,N/A,Tasmania,7112,-43.22879785,147.0986166,Franklin,Huon Valley,Tasmania,Outer Regional Australia,25 February 2016
Acacia Hills,TAS-0003,N/A,Tasmania,7306,-41.27721167,146.3325561,Lyons,Kentish,Tasmania,Outer Regional Australia,25 February 2016
Adams Road,TAS-0004,N/A,Tasmania,7256,-39.903621,143.971143,Braddon,King Island,Tasmania,Very Remote Australia,25 February 2016
Alberton,TAS-0005,N/A,Tasmania,7263,-41.29331623,147.7884871,Bass,Dorset,Tasmania,Outer Regional Australia,25 February 2016
Allens Rivulet,TAS-0006,N/A,Tasmania,7150,-43.01012435,147.2036004,Franklin,Kingborough,Tasmania,Inner Regional Australia,25 February 2016
Andover,TAS-0007,N/A,Tasmania,7120,-42.32888919,147.4622756,Lyons,Southern Midlands,Tasmania,Outer Regional Australia,25 February 2016
Ansons Bay,TAS-0008,N/A,Tasmania,7264,-41.03485107,148.2670716,Lyons,Break O'Day,Tasmania,Outer Regional Australia,25 February 2016
Apslawn,TAS-0009,N/A,Tasmania,7190,-41.95734879,148.162671,Lyons,Glamorgan/Spring Bay,Tasmania,Remote Australia,25 February 2016
Apsley,TAS-0010,N/A,Tasmania,7030,-42.4303401,147.1432937,Lyons,Central Highlands,Tasmania,Outer Regional Australia,25 February 2016
Arthur Highway,TAS-0011,Between Dunalley and Murdunna,Tasmania,7178,-42.92943802,147.8446502,Lyons,Tasman,Tasmania,Outer Regional Australia,25 February 2016
